,資産1,資産2,資産3,資産4,資産5
2007-01-31,-2.313056657898162,-4.503855218291654,0.5309315330066707,1.3925794006631342,-1.3454084189906723
2007-02-28,-2.474033182071816,-2.3614413014704985,-19.81487461706038,12.81949337742803,-10.031084799279187
2007-03-31,-5.3847389144236795,2.588933964400703,10.350945970702751,10.356395206759483,-1.6644937449530337
2007-04-30,-5.992190087426584,-0.49643895193283605,-4.770446428033835,-5.838914042963973,-21.171827896623928
2007-05-31,-4.701300770707809,-13.82278646104113,6.776691483230467,-4.201704212477928,21.390680382220985
2007-06-30,14.334365035381648,-1.6410191609905365,10.87304285437874,40.10634946224062,12.67956820305531
2007-07-31,5.850337432617086,21.722095528977324,-0.09888606383140552,8.566744210165025,22.783305877638597
2007-08-31,1.7338122086715564,5.186522006762489,5.509462420098918,3.0313289842520605,7.429171423656302
2007-09-30,5.69840823174841,3.0477008765446842,-3.3835044804564394,33.85176379683801,7.051330651611855
2007-10-31,-2.0031626250392627,-10.209125971823816,-21.06588188499362,-13.882547720212123,-10.405723831003586
2007-11-30,1.4153148600187788,3.1947165077170023,-1.0654268335327872,-1.8584932677301467,-3.110907543273492
2007-12-31,-2.748806470697457,8.370406660585466,7.159832176843455,30.206608534125476,3.671643605731516
2008-01-31,0.031883571711746383,-0.7111270098490232,-10.10564972342944,-1.728278749905109,19.633383176996027
2008-02-29,-1.7472308372145307,6.824007020353179,-0.15513454581138153,-4.632230064983762,-6.770745806570838
2008-03-31,-3.6428748911509485,-10.375935667700725,-0.7005584120056514,-9.363336864247499,-21.72802374058104
2008-04-30,-0.611683541533891,4.731351680423334,9.485359972616179,7.873248524744242,-3.503560722705082
2008-05-31,5.9940465335849975,9.513301547633876,5.710439866027624,-26.811949834327635,10.13735742163113
2008-06-30,2.952661933628169,20.303754774459076,18.588535732575682,9.324088220285503,8.483269773866216
2008-07-31,8.763779091698776,4.360285242445905,1.1166735317850696,5.089340343081343,-4.538285759923548
2008-08-31,3.890559490027507,11.034745392614171,-1.6007110864913465,21.03319453539622,-11.224032576687298
2008-09-30,-1.1043600471890809,-11.983669038215098,-8.70165826819252,-9.929689174693067,-13.134824865696778
2008-10-31,-4.4662492450758675,8.622350244789592,8.262007438505195,13.570688565224238,10.173949446453197
2008-11-30,-12.17560388979137,-10.796525417893623,-21.956149681244487,1.2884201858030622,-2.909556408845736
2008-12-31,13.237592471129462,22.425128932077126,14.240870339447358,27.482033635577697,28.99445520649906
2009-01-31,-2.504260720656242,11.646281365239462,-6.838645454212486,25.658673342012893,14.312751279809914
2009-02-28,9.402580017841197,9.345594243466952,-15.460200169762285,-22.426814297738073,0.9130116634613148
2009-03-31,6.97632402686953,3.2726493886484596,17.336119019562872,-2.483388085885256,31.447665072618516
2009-04-30,-8.722823507348364,-11.678586286799442,-14.404066660739744,-5.399111988542398,-4.554094419964576
2009-05-31,-0.9578399741537631,12.411202099164457,-4.564775255549422,-8.938168681439825,1.264453512011713
2009-06-30,-1.654967376978283,12.230204529004947,-8.007483206077632,-14.16917209505312,-6.097532784883603
2009-07-31,-1.9927377479216064,13.34578891546435,19.842439647818306,20.999815292412634,8.851799142908398
2009-08-31,2.9394631353742895,-1.4729989496173994,-2.0259462431016164,15.590836614187948,11.290083825988198
2009-09-30,-5.420857689735033,23.66970806243131,13.036563424220136,3.246712548438094,16.860420563172266
2009-10-31,4.217460734391773,2.3360474376104943,5.482888616877772,-12.039361093038927,12.87002860508246
2009-11-30,5.2391516861905405,-3.858504567655534,-8.510618639135036,2.0647033151291363,3.1800468043952472
2009-12-31,-2.4688906197027025,-8.743555651693107,2.640475297347318,-10.368017756498144,-4.044246142659851
2010-01-31,-2.047932460768026,4.390307389617062,-11.12174268712176,6.937720694039028,-3.5846657034586595
2010-02-28,7.028031415773885,8.716995098735538,12.149259186378384,36.192917795570594,14.232819870409521
2010-03-31,13.317465846304513,21.956625174294157,0.8631822874147002,10.142241228330967,15.890154535737338
2010-04-30,-8.61114383793692,-1.9011554815033795,-5.766742592043539,38.147934341094135,4.490704846257835
2010-05-31,7.750071632929779,15.910277521667538,5.916582049573561,-0.523429457876798,2.648370685409857
2010-06-30,-1.5750560716142052,-26.136677222467853,-1.675587272859786,-1.905361175440322,7.7715203277128015
2010-07-31,-4.603049796219644,-10.343365296100318,2.7140365396393835,29.096738711089888,17.370358223595716
2010-08-31,1.0949574354278129,10.972790536895364,1.7715644419758612,16.485161141943557,12.336521256798946
2010-09-30,3.202313016812844,-7.397357412297383,-2.034798563997448,-2.094563371567723,5.780095871364628
2010-10-31,-2.0224936220796828,10.156555333911065,-3.798957805890379,5.413917969888398,-9.485666876122213
2010-11-30,0.42333050296239605,11.278184171928174,6.7646172242392275,10.681735069689022,24.450402579136338
2010-12-31,8.509850101189873,16.842758760278002,8.328146138750672,5.509182450517469,4.9651002817024965
2011-01-31,2.5104226749004273,11.324536683729862,5.661507559325482,5.955001767399155,-5.598028118784464
2011-02-28,0.17072258363936854,8.045376308539874,7.850637985907256,5.3588434167287975,27.83977440572684
2011-03-31,-1.0217625549022382,-4.882207306436615,-6.144951855892571,23.22139615318363,10.331316549884768
2011-04-30,1.869359650142071,-2.372462638713091,16.31739900742544,-7.957401787614739,1.7377997364014695
2011-05-31,-12.566413371387123,-8.943081710013914,6.864617456077459,30.476184437013956,25.246763273334718
2011-06-30,9.891665821697757,17.82111857138315,13.219019263114225,-10.055300947687048,-1.1433723454712004
2011-07-31,8.229461881354785,4.6678443766419395,-2.0421401644531225,-1.0919513801328522,14.460978677789521
2011-08-31,10.88060892117534,12.757849650064324,4.905289455056805,6.911839424940018,21.23451464613897
2011-09-30,1.592497016484622,20.207746556550077,9.899084315612479,16.098245785164885,4.786804365590022
2011-10-31,-5.63603583487802,-3.531689700179248,-3.858017205004856,-7.3925918190382625,-12.87961251956386
2011-11-30,1.781006038420773,2.106897472521714,-9.034621007584457,-13.589747775950968,-5.380851451920684
2011-12-31,1.2779520670089548,-7.291147018363295,3.37185942008419,-13.44457372207659,6.43056218072179
2012-01-31,-2.082087714624073,12.739785249023742,18.34242964771709,34.431306909575376,18.322847627964855
2012-02-29,1.3267597148767025,-2.3467367874679006,-0.5574463865067121,5.550146015949867,8.16110389384168
2012-03-31,1.4775349582875097,-14.868317992001344,-12.998218276012194,-20.65119088618919,4.170130027080549
2012-04-30,9.86754415453299,9.661414414953647,1.4726692237061592,34.424836500395216,13.869426393125162
2012-05-31,-4.566567083650246,0.10507673290919284,-15.53551714433906,12.877596671669124,-20.37516451310106
2012-06-30,4.268545428253665,10.894542426073365,2.5275897074992857,13.509128628716656,8.783671541032408
2012-07-31,-3.4640088963102995,14.447221253174545,-1.063001021166699,3.2543478859909034,-10.836579133228218
2012-08-31,0.4324768783828248,-5.241590522958202,1.05205329005002,-2.571806128738004,-2.2671411638474934
2012-09-30,7.037821038080658,2.433974270663127,6.015839526751057,-18.46614780436849,-13.00493838463257
2012-10-31,6.394477794540071,21.216709115250488,8.131946583902383,14.279150313513142,8.651668302740951
2012-11-30,-1.0960139657237677,-1.4080936540430393,0.4373640598140862,-23.15797059120084,-7.080606935276135
2012-12-31,-7.70353928675002,4.462669751299299,-3.7879984199498553,-5.7993376814605675,-5.607182721653432
2013-01-31,5.319005830487488,12.717893784629215,18.673968844098713,47.21144126853357,10.412969167649909
2013-02-28,4.295208019962392,7.493890211995308,2.301929923349003,10.208608700016605,-7.226391182864717
2013-03-31,6.3192769068624655,0.6991226068053455,-2.067745929611433,-8.60531941784967,-14.934310563562686
2013-04-30,11.491737123905486,10.564133058475718,5.489607364777795,32.26580613443191,17.26731741759682
2013-05-31,5.892938827296017,-3.316110906754359,3.0639435324980857,-19.726256319209767,-2.7291344051807664
